login,password,saldo,numeroConta
rafael,123,125000,1
raquel,abc,10000,2
carlos,pass123,75000,3
ana,securePW,5000,4
maria,hello123,30000,5
pedro,letmein,45000,6
luis,password123,28000,7
sara,passpass,2000,8
fernando,123456,150000,9
julia,iloveyou,8000,10
paulo,abc123,60000,11
beatriz,secure123,35000,12
marcos,admin123,100000,13
ana123,ana123,5000,14
joao,qwerty,70000,15
lucas,lucas123,90000,16
marta,marta123,25000,17
gabriel,gabriel123,40000,18
leticia,letmein123,12000,19
leonardo,password1,110000,20
bianca,passpass1,22000,21
carolina,carolina123,33000,22
thiago,thiago123,28000,23
rafaela,rafaela123,75000,24
teste,teste123,1000,25
